permit_date,status,closed_date,store_name,address,phone,latitude,longitude,multi_use,total_area
2023-06-22,영업/정상,,씨유 장안래미안점,"서울특별시 동대문구 장안벚꽃로 167, 분산상가1동 1층 101호 (장안동, 래미안장안2차아파트)",,452410.619464697,206590.046202018,N,3.3
2019-05-03,영업/정상,,씨유외대앞역점,"서울특별시 동대문구 휘경로 24-1, 1층 (이문동)",,454767.025886057,205451.108723746,N,3.3
2022-03-28,영업/정상,,씨유 동아제약점,"서울특별시 동대문구 무학로23길 30, 1층 (용두동)",,452261.096377274,202476.126257338,N,3.3
2019-11-13,영업/정상,,씨유답십리 위브점,"서울특별시 동대문구 답십리로 130, 3동 지하1층 3-5호 (답십리동, 래미안위브)",,452195.522783718,204696.572647481,N,3.3
2019-12-06,영업/정상,,씨유(CU)전농크레시티점,"서울특별시 동대문구 전농로27길 81-24, 1층 (전농동)",,452896.420633701,204600.548630856,N,3.3
2019-07-12,영업/정상,,씨유(CU) 휘경점,"서울특별시 동대문구 망우로16길 26, 1층 (휘경동)",,454077.422005409,205326.014467519,N,3.3
2024-10-29,영업/정상,,씨유 휘경중앙점,"서울특별시 동대문구 외대역동로 40, 1층 (휘경동)",,454467.683288105,205762.124106658,N,3.3
2024-11-05,영업/정상,,씨유(CU) 뉴휘경해모로,"서울특별시 동대문구 외대역동로1길 60-3, 상가동 103호 (휘경동, 휘경 해모로 프레스티지)",,454341.792828891,205435.873430406,N,6.6
2024-09-23,영업/정상,,씨유 장안드플랏,"서울특별시 동대문구 장한로 82, 1층 103호 (장안동)",,451768.73799002,206067.990094344,N,3.3
2014-11-10,영업/정상,,씨유(CU)장안에스점,"서울특별시 동대문구 답십리로63길 65, 1층 (장안동)",02  22152775,452588.294391875,206013.185260624,N,3.3
2024-07-25,영업/정상,,씨유 동대문전농점,"서울특별시 동대문구 사가정로 148, 주상가동 2층 220,221호 (전농동, 전농 SK아파트)",,452706.897879436,205271.704936121,N,3.3
2024-05-31,영업/정상,,씨유(CU) 외대이문점,"서울특별시 동대문구 휘경로2길 29, 상가동 1층 1,2호 (이문동)",,454723.65862757,205289.544423999,N,3.3
2023-04-28,영업/정상,,씨유 답십리점,"서울특별시 동대문구 서울시립대로2길 60, 1층 (답십리동)",,452250.533691528,204254.260169616,N,3.3
2020-01-20,영업/정상,,씨유(CU) 답십리 스카이점,"서울특별시 동대문구 황물로 168, 한성아펠시티 1층층 101호,102호호 (답십리동)",,451439.040451239,204901.263300148,N,3.3
2020-01-17,영업/정상,,씨유 장안사거리점,"서울특별시 동대문구 답십리로 263, 1층 (장안동)",,452276.415572051,206076.571064694,N,3.3
2020-02-10,영업/정상,,씨유회기중앙점,"서울특별시 동대문구 회기로29길 9, 공주빌딩 1층 (휘경동)",,454253.066065736,205044.455486451,N,3.3
2020-03-18,영업/정상,,씨유 휘경해모로점,"서울특별시 동대문구 망우로21가길 12, 1층 (휘경동)",,454285.918256751,205452.387707112,N,3.3
2020-02-11,영업/정상,,씨유 장안포레스트점,"서울특별시 동대문구 천호대로97길 9, 1층 101호 (장안동)",,451011.194201757,206106.483386124,N,3.3
2016-05-20,영업/정상,,씨유청량코아점,"서울특별시 동대문구 홍릉로 16, 1층 (청량리동)",,453272.124807602,203895.879977563,N,3.3
2020-04-07,영업/정상,,씨유제기한신점,"서울특별시 동대문구 고산자로54길 91, 1층 (제기동)",,454244.748303247,203500.584388659,N,2.0
2024-04-16,영업/정상,,씨유 안암로타리점,"서울특별시 동대문구 약령시로 7, 1층 (제기동)",,453392.902948534,202633.567387178,N,3.3
2024-04-25,영업/정상,,씨유 청량리경찰서점,"서울특별시 동대문구 약령시로21길 5, 1층 (청량리동)",,453480.356785847,203900.727367772,N,3.3
2024-03-22,영업/정상,,씨유(CU) 뉴용두래미안점,"서울특별시 동대문구 고산자로 393, 1층 (용두동)",0215778007,452510.06586304,203271.183653804,N,6.6
2023-05-04,영업/정상,,씨유 전농삼성점,"서울특별시 동대문구 전농로 192, 105호 (전농동, 전농동삼성아파트)",,453293.408953766,204840.97840131,N,3.3
2023-05-17,영업/정상,,씨유 청량리한양수자인점,"서울특별시 동대문구 천호대로35길 82, 1층 (용두동)",,452723.367968497,203708.528479455,N,3.3
2021-12-31,영업/정상,,씨유 청계센트럴점,"서울특별시 동대문구 무학로 69, e편한세상 청계센트럴포레 상가 1층 103,104호 (용두동)",,452206.2713086,202557.766413515,N,3.3
2023-02-22,영업/정상,,씨유 청량리해링턴점,"서울특별시 동대문구 고산자로34길 70, 청량리역 해링턴플레이스 A동 107호 (용두동)",,,,N,3.3
2021-11-23,영업/정상,,씨유(CU)장안대로,"서울특별시 동대문구 장한로 180, 1층 (장안동)",,452686.139371095,206323.706589841,N,3.0
2021-10-20,영업/정상,,씨유 홍릉점,"서울특별시 동대문구 제기로 73, 1층 (청량리동)",02 9681968,453841.341960808,203568.823203797,N,3.3
2018-09-05,영업/정상,,씨유편의점,서울특별시 동대문구 고미술로 16 (답십리동),,451911.773990756,204377.957277782,N,1.0
2018-08-30,영업/정상,,씨유제기타운점,"서울특별시 동대문구 제기로4길 41, 1층 (제기동)",,453591.180194949,202850.505021181,N,5.0
2024-02-20,영업/정상,,씨유(CU) 래미안 아름숲,"서울특별시 동대문구 사가정로17길 15, 래미안아름숲 상가 상가2동 1층 108호 (전농동)",,452918.582914393,205230.401831584,N,3.3
2024-01-23,영업/정상,,씨유(CU)휘경브라운스톤점,"서울특별시 동대문구 망우로20길 86, 1층 103호 (휘경동, 브라운스톤휘경)",15778007,454211.953899577,205790.569535899,N,3.3
2018-10-01,영업/정상,,씨유군자초교점,"서울특별시 동대문구 천호대로77길 22, 1층 101호, 102호 (장안동)",,451210.924019388,205357.797314535,N,3.3
2021-05-20,영업/정상,,씨유 동대문도서관점,"서울특별시 동대문구 천호대로2길 23-17, 1층 (신설동)",,452373.522309891,202145.732067019,N,3.3
2021-04-26,영업/정상,,씨유(CU)장한평2호점,"서울특별시 동대문구 천호대로 433, 1층 (장안동)",0233904354,451025.902075739,205860.651088631,N,3.3
2022-11-29,영업/정상,,씨유 답십리두산위브점,"서울특별시 동대문구 황물로15길 25, 106동 9호,10호 (답십리동, 두산위브아파트)",,451546.21295578,205027.544251529,N,3.3
2021-09-13,영업/정상,,씨유(CU)뉴장안홈타운점,"서울특별시 동대문구 장한로24길 27, 1층 (장안동)",,452027.345352444,206324.745374008,N,3.3
2021-09-23,영업/정상,,씨유 신설베르빌점,"서울특별시 동대문구 천호대로 23, 동광동대문베르빌 1층 115호,116호 (신설동)",,452478.339896363,202257.985695221,N,3.3
2021-03-31,영업/정상,,씨유뉴답십리간데메점,"서울특별시 동대문구 답십리로30길 28, 1층 (전농동)",,452424.651783325,204186.031104863,N,6.6
2021-04-14,영업/정상,,씨유(CU)장안퍼스트,"서울특별시 동대문구 장한로27가길 24, 1층 101호,102호 (장안동, 그린 빌)",,452427.365489714,206226.971120864,N,3.3
2021-03-08,영업/정상,,씨유고대1호점,"서울특별시 동대문구 안암로 156, 1층 (제기동)",02925 6103,454016.433323767,203035.141992884,N,3.3
2020-10-15,영업/정상,,씨유제기리더스캐슬점,"서울특별시 동대문구 무학로36길 46, 1층 101호 (용두동)",,452795.191747822,202855.877927225,N,6.6
2016-02-16,영업/정상,,씨유장안플러스점,서울특별시 동대문구 장한로 47 (장안동),02   9877596,451456.484066966,205838.423040069,N,3.3
2016-11-28,영업/정상,,씨유 카이스트점,서울특별시 동대문구 회기로 119 (회기동),,454368.090173774,204334.609910032,N,2.0
2015-12-24,영업/정상,,씨유경동사거리점,"서울특별시 동대문구 천호대로27길 73, 1층 (용두동, CU편의점 내)",02 9592391,452797.896954422,203238.996827061,N,4.0
2017-09-21,영업/정상,,씨유장안으뜸점,"서울특별시 동대문구 한천로24길 22, 1층 (장안동)",,452000.024836728,205784.395401088,N,6.6
2017-10-20,영업/정상,,씨유답십리리더스점,"서울특별시 동대문구 한천로 43, 1층 (답십리동)",,451518.494316754,205329.099886508,N,3.0
2016-08-26,영업/정상,,씨유 답십리사랑점,"서울특별시 동대문구 전농로 53, 지상1층 (답십리동)",,451941.169357885,204956.787850215,N,6.6
2018-01-04,영업/정상,,씨유장안중앙점,"서울특별시 동대문구 천호대로91길 41, 1층 (장안동)",,451249.684059723,206065.130173523,N,6.6
2015-03-30,영업/정상,,씨유 용두리치점,"서울특별시 동대문구 한빛로 73, 지하1층 5~6호 (용두동, 용두롯데캐슬리치상가)",,452981.373965337,202666.663570798,N,59.4
2018-04-30,영업/정상,,씨유제기푸르지오1호점,"서울특별시 동대문구 왕산로 86, 1층 104호, 105호 (용두동, 동대문 푸르지오시티)",,452830.969596842,202823.862895668,N,6.6
2018-05-10,영업/정상,,씨유(CU)회기창덕안점,"서울특별시 동대문구 회기로 194-14, 1층 102호 (휘경동)",,454149.775223977,204982.647969049,N,15.0
2014-10-13,영업/정상,,씨유 뉴장안행운점,"서울특별시 동대문구 한천로2길 107, 형인타워 1층 (장안동)",,451134.504571525,205630.354628789,,
2015-06-15,영업/정상,,씨유회기나무점,"서울특별시 동대문구 이문로 18, 1층 101호 (휘경동)",,454108.779719723,204810.671492946,N,3.3
2015-06-19,영업/정상,,씨유답십리대림점,"서울특별시 동대문구 한천로 107-3, 1층 (답십리동)",0222447232,452069.966457997,205661.548238672,N,3.3
2018-07-17,영업/정상,,씨유장한평점,"서울특별시 동대문구 장한로2길 23, 광일빌딩 1층 102호 (장안동)",,451104.428484125,205811.588061069,N,3.3
2017-04-19,영업/정상,,씨유제기원룸점,"서울특별시 동대문구 제기로6길 4, 1층 (제기동)",,453767.168526301,202966.672155958,N,1.5
2012-03-07,영업/정상,,씨유(CU) 이문1호점,서울특별시 동대문구 천장산로7길 8 (이문동),9670867,455149.120631737,204997.899203454,N,9.9
2014-02-04,영업/정상,,씨유제기이래점,"서울특별시 동대문구 왕산로23길 17, 1층 (제기동)",,452980.941887108,202927.676413455,N,4.0
2013-01-22,영업/정상,,씨유(CU)휘경주공점,"서울특별시 동대문구 한천로 264, 1층 (휘경동, 휘경프라자102호,103호)",,453559.086631839,205964.401655984,N,3.3
2008-01-21,영업/정상,,씨유(CU) 제기점,서울특별시 동대문구 약령시로 104-1 (제기동),02  966 2303,453395.31226721,203603.62166181,N,6.0
2012-02-27,영업/정상,,씨유(CU) 용두으뜸점,서울특별시 동대문구 안암로 52 (용두동),02923 0223,453216.41300819,202387.110760391,N,6.6
2013-03-04,영업/정상,,씨유(CU)전농으뜸점,"서울특별시 동대문구 전농로31길 17, 1층 (전농동)",,453420.178214375,204581.40291993,N,5.0
2011-03-29,영업/정상,,씨유(CU) 용두점,"서울특별시 동대문구 왕산로 52, 102동 101호 (용두동)",,452741.78356378,202493.364002564,N,10.0
2010-11-26,영업/정상,,씨유(CU) 장안에뜨와르점,"서울특별시 동대문구 한천로24길 70, 103, 104호 (장안동)",,451858.754428857,205974.654499441,N,49.5
2009-01-07,영업/정상,,씨유휘경행복점,"서울특별시 동대문구 망우로12길 5, 1층 (휘경동)",02 22121689,454062.344340092,205172.101196326,N,8.3
2011-03-29,영업/정상,,씨유(CU)용두안암점,"서울특별시 동대문구 무학로37길 42 (용두동,지상1층)",,452833.81890426,202399.993419647,N,3.3
2013-12-27,영업/정상,,씨유 장안쉐르빌점,"서울특별시 동대문구 답십리로68길 24, 1층 (장안동)",02  22137771,452134.117081334,206042.010912415,N,4.0
2020-11-23,영업/정상,,씨유 답십리카운티에비뉴점,"서울특별시 동대문구 사가정로 80, 1층 119호 (답십리동)",,452551.619058358,204786.798142065,N,3.3
2021-01-21,영업/정상,,씨유 신설남예종점,"서울특별시 동대문구 한빛로 18, 1층 (신설동)",02953 4566,452773.013115482,202164.673221496,N,3.3
2020-12-28,영업/정상,,씨유휘경SK뷰점,"서울특별시 동대문구 휘경로 60, 101동 상가107호 (휘경동, 휘경에스케이뷰)",,454592.910090539,205767.03955066,N,3.3
2018-11-30,영업/정상,,씨유 답십리썬앤빌점,"서울특별시 동대문구 고미술로 71, 1층 108호 (답십리동, 현대썬앤빌 청계)",,451543.494717439,204802.884455346,N,2.0
2023-12-28,영업/정상,,씨유(CU) 신흥래미안점,"서울특별시 동대문구 전농로3길 102, 1층 (답십리동)",15778007,452222.757305655,204895.221861864,N,3.3
2025-02-18,영업/정상,,씨유 이문라그란데,"서울특별시 동대문구 이문로35길 12, G동 1층 106호 (이문동, 래미안라그란데아파트)",,455308.651763587,205249.265435832,N,10.0
2023-10-13,영업/정상,,씨유 이문골드점,"서울특별시 동대문구 이문로 162, 1층 (이문동)",,455402.131696197,205427.343766282,N,3.3
2023-11-03,영업/정상,,씨유 이문투니온점,"서울특별시 동대문구 이문로 190, 1층 (이문동)",02 9579004,455689.903962813,205425.327338598,N,3.3
2022-06-27,영업/정상,,씨유 용두엘리니티점,"서울특별시 동대문구 무학로49길 81, 1층 101호 (용두동)",,453021.634909258,202234.556676081,N,3.3
2022-06-17,영업/정상,,씨유 청원에셋점,"서울특별시 동대문구 천호대로 319, 답십리한화오벨리스크 1층 102호 (답십리동)",,451394.889425203,204884.796367996,N,3.3
2024-12-06,영업/정상,,씨유(CU)동일스위트점,"서울특별시 동대문구 한천로 300, 상가동 1층 101,102호 (휘경동, 동일스위트리버)",,453902.53167996,205997.604547856,N,6.6
2025-02-12,영업/정상,,씨유 제기고대역점,"서울특별시 동대문구 고산자로56길 34, 1층 (제기동)",,454092.898622518,203329.607071525,N,3.3
2025-05-09,영업/정상,,씨유 강서지식산업센터점,"서울특별시 강서구 양천로 401, 강서한강자이타워 1층 B104호 (가양동)",,451485.251875922,186501.233192961,,
2025-01-22,영업/정상,,씨유 신설자이르네점,"서울특별시 동대문구 천호대로 26, 1층 (신설동, 신설동역자이르네)",,452397.732552095,202232.554341254,N,5.0
2019-02-14,영업/정상,,씨유 숭인2동점,"서울특별시 종로구 종로 383, 1층 (숭인동)",,452481.882944225,201679.88532613,N,5.0
2025-05-20,영업/정상,,씨유 서초중앙로점,"서울특별시 서초구 서초중앙로6길 31, 1층 (서초동)",,442736.127358219,201446.483320265,,
2019-04-10,영업/정상,,씨유 경희궁자이 행복점,"서울특별시 종로구 경교장길 35, 1층 3101호 (평동, 경희궁자이 3단지)",,451813.489945391,196931.854196185,N,3.3
2019-04-09,영업/정상,,씨유망우금란점,"서울특별시 중랑구 용마산로118길 71, 1층 (망우동)",,455439.572305693,209158.629853248,N,3.3
2024-05-31,영업/정상,,씨유묵동현대점,"서울특별시 중랑구 봉화산로3길 248, 101호 (묵동, 현진월드빌)",,456705.745006925,206466.869284026,N,3.3
2019-03-21,영업/정상,,씨유 용마산점,"서울특별시 중랑구 면목로 224, 신광빌딩 1층 (면목동)",,452296.055921315,207378.904125417,N,3.3
2019-02-22,영업/정상,,씨유 신내봉실점,서울특별시 중랑구 용마산로129나길 61 (신내동),,455835.659124015,208678.205520678,N,3.3
2019-03-14,영업/정상,,씨유면목7동점,"서울특별시 중랑구 사가정로54길 42, 선화학원 (면목동)",02 4327295,452994.128441664,207670.688373846,N,3.3
2019-09-03,영업/정상,,씨유중랑면일초점,"서울특별시 중랑구 용마산로100길 8, 1층 (망우동)",,454361.377275245,208627.633755174,N,3.3
2023-06-22,영업/정상,,씨유 면목동부점,"서울특별시 중랑구 동일로109길 17, 1층 (면목동)",,454409.184402978,206926.72576318,N,3.3
2023-06-23,영업/정상,,씨유 면목새롬점,"서울특별시 중랑구 용마산로 295, 1층 (면목동)",,452959.868506619,207993.010943951,N,3.3
2019-06-17,영업/정상,,씨유중화드림점,"서울특별시 중랑구 동일로144가길 5, 1층 (중화동)",,455925.505007801,207057.530539015,N,3.3
2019-05-20,영업/정상,,씨유중랑송계공원점,"서울특별시 중랑구 동일로95길 22, 천마빌딩 1층 (면목동)",,453636.513332128,206861.2585605,N,3.3
2019-04-29,영업/정상,,씨유면목본동점,"서울특별시 중랑구 상봉로15나길 2, 1층 (면목동)",,454377.747216682,208057.051467807,N,3.3
2022-02-11,영업/정상,,씨유 면목으뜸점,"서울특별시 중랑구 면목로47길 22, 1층 (면목동)",,453347.215808367,207600.568582515,N,3.3
2020-01-07,영업/정상,,씨유 중랑이화교제일점,"서울특별시 중랑구 중랑역로 87, 1층 (중화동)",,455435.167822471,206780.966208611,N,3.3
2015-07-08,영업/정상,,씨유 신내경남점,"서울특별시 중랑구 봉화산로56길 120, 1층 (신내동)",,455678.518199312,208503.950285653,N,3.3
2022-02-24,영업/정상,,씨유묵동행복점,"서울특별시 중랑구 봉화산로3길 103, 1층 (묵동)",,455991.115367555,206553.957716278,N,3.3
2018-05-28,영업/정상,,씨유 면목시장점,"서울특별시 중랑구 면목로31길 26, 호돌이마트 1층 (면목동)",,452665.433181777,207335.315375359,N,3.3
2016-06-21,영업/정상,,씨유 면목중앙점,"서울특별시 중랑구 면목로56가길 8, 1층 (면목동)",,453578.883999095,207785.947100521,N,3.3
2014-06-12,영업/정상,,씨유 망우의리점,"서울특별시 중랑구 상봉중앙로1다길 67, 1층 (상봉동)",,455319.100648462,207963.162406561,N,4.0
2017-06-05,영업/정상,,씨유신내IC점,서울특별시 중랑구 용마산로139가길 16 (신내동),,456998.820824509,208867.971587228,N,6.6
2018-04-27,영업/정상,,씨유면목사랑점,"서울특별시 중랑구 용마산로94길 65, 1층 (면목동)",,453989.186766812,208781.304727661,N,6.6
2016-06-20,영업/정상,,씨유중랑동일로점,"서울특별시 중랑구 망우로42길 22, 1층 (상봉동)",02434 8854,454693.157232245,207258.315157871,N,3.3
2018-04-06,영업/정상,,씨유망우경남점,"서울특별시 중랑구 양원역로 37, 1층 (망우동, 경남아파트)",02  432 6764,455724.355960673,209353.326092817,N,3.3
2018-04-11,영업/정상,,씨유중랑진선미점,"서울특별시 중랑구 중랑천로 224, 1층 (중화동)",,455824.577720572,206472.224945227,N,6.6
2018-02-21,영업/정상,,씨유중랑망우로점,"서울특별시 중랑구 망우로66길 50, 1층 (망우동)",02  437 7239,455004.729379312,208709.463983172,N,3.3
2014-11-10,영업/정상,,씨유 면목베네스트,"서울특별시 중랑구 면목로55길 70, 1층 (면목동)",,453592.246815946,207390.6527578,N,4.0
2020-01-03,영업/정상,,씨유 중랑동부점,"서울특별시 중랑구 중랑천로10길 48, 1층 (면목동)",,454422.784821415,206616.156398756,N,3.3
2013-05-02,영업/정상,,씨유신내중앙점,"서울특별시 중랑구 신내로19길 42, 1층 (신내동)",0234231894,456995.441709842,207966.140189875,N,2.0
2013-05-23,영업/정상,,씨유묵동도깨비점,"서울특별시 중랑구 공릉로12가길 45, 지상1층 (묵동)",,457256.144723364,207152.532277145,N,6.0
2018-04-23,영업/정상,,씨유 묵동더드림점,"서울특별시 중랑구 동일로 855, 산성교회 1층 4,5,6호 (묵동)",02  979 3694,456060.261130323,206826.69219219,N,3.3
2022-01-12,영업/정상,,씨유 중랑면목점,"서울특별시 중랑구 면목로 400, 1층 (면목동)",,453930.081446368,207696.653850422,N,3.0
2021-12-22,영업/정상,,씨유 면목주함점,"서울특별시 중랑구 봉우재로 50, 201동 101,102호 (면목동, 봄작시티 50)",,454254.267860198,206897.950938746,N,3.3
2020-03-18,영업/정상,,씨유(CU) 중화장수점,"서울특별시 중랑구 동일로126길 43, 1층 (중화동)",,455173.030926056,207223.441469661,N,3.3
2014-04-29,영업/정상,,씨유중랑본,"서울특별시 중랑구 봉우재로33길 58, 1층 (상봉동)",02 4393339,454713.155015128,207772.038532953,N,4.0
2023-02-15,영업/정상,,씨유 면목대양점,"서울특별시 중랑구 면목로33길 79, 1층 (면목동)",,452675.351405579,207123.492914862,N,3.3
2021-11-17,영업/정상,,씨유 신내힐데스하임점,"서울특별시 중랑구 봉화산로 301, 511동 101호 (망우동, 신내역 힐데스하임 참좋은아파트)",,456404.206110095,209260.893826078,N,3.3
2021-10-05,영업/정상,,씨유(CU)면목사가정점,"서울특별시 중랑구 면목로48길 25, 새건명약국 1층 (면목동)",,453337.006204504,207886.420575928,N,3.3
2024-05-09,영업/정상,,씨유 면목하모니점(CU),"서울특별시 중랑구 용마산로96길 16, 1층 (면목동)",,454213.122853434,208608.730096996,N,6.6
2024-04-18,영업/정상,,씨유면목한신점(CU),"서울특별시 중랑구 겸재로3길 30, 1층 (면목동)",,453893.266555259,206707.400663257,N,9.9
2020-08-21,영업/정상,,씨유중랑베스트점,"서울특별시 중랑구 봉화산로4길 28, 1층 (중화동)",,455329.195861802,206657.81337051,N,3.3
2020-06-26,영업/정상,,씨유 중랑그랑데점,"서울특별시 중랑구 면목로 262, 1층 (면목동)",,452649.921914721,207530.687243099,N,3.3
2024-01-25,영업/정상,,씨유 중화봉화점(CU),"서울특별시 중랑구 봉화산로19길 8-4, 1층 (중화동)",,455516.069935689,207108.61428541,N,3.3
2023-02-16,영업/정상,,씨유 상봉무지개점,"서울특별시 중랑구 상봉중앙로 62, 1층 (상봉동)",,455607.212185672,207646.140328058,N,3.3
2021-06-09,영업/정상,,씨유 면목두산점,"서울특별시 중랑구 면목로35길 51, 면목중앙교회 1층 (면목동)",,452975.468889265,207272.406804292,N,33.0
2021-05-27,영업/정상,,씨유 용마하늘점,"서울특별시 중랑구 용마산로 194, 지층 2호 (면목동, 용마산타워)",,452077.782812274,207564.341809894,N,3.3
2021-07-23,영업/정상,,씨유 망우우리점,"서울특별시 중랑구 망우로68길 30, 1층 101호 (망우동)",,455142.365600537,208843.284021493,N,3.3
2022-08-22,영업/정상,,씨유 망우혜원점,"서울특별시 중랑구 봉우재로58길 16, 금유빌딩 1층 (망우동)",,454613.918371217,208348.372305111,N,3.3
2022-07-04,영업/정상,,씨유상봉건영,"서울특별시 중랑구 신내로7나길 20, 1층 (상봉동)",02  437 1116,455472.878357232,208312.725195146,N,10.0
2021-04-21,영업/정상,,씨유중랑서일대점,"서울특별시 중랑구 용마산로90길 10, 1층 (면목동)",,453934.391719142,208453.404896461,N,3.3
2022-09-21,영업/정상,,씨유 신내SKV1 B동점,"서울특별시 중랑구 신내역로 111, 신내 SK V1 center B동 1층 134,135호 (신내동)",,456761.921129526,209856.1161416,N,8.0
2022-10-21,영업/정상,,씨유 혜원사거리점,"서울특별시 중랑구 상봉로 90, 연평도해물탕 1층 (망우동)",,454620.040170074,208182.238945667,N,3.3
2018-10-01,영업/정상,,씨유먹골장미점,"서울특별시 중랑구 동일로163길 10, 1층 (묵동)",02  949 3996,456647.02082076,206703.796752722,N,3.3
2018-09-19,영업/정상,,씨유상봉솔렌시아,"서울특별시 중랑구 봉우재로49길 9, 1층 101,102호 (상봉동)",,454669.058716506,208055.10168581,N,9.9
2022-05-18,영업/정상,,씨유 망우무지개점,"서울특별시 중랑구 용마공원로2길 22, 대일할인마트 1층 (망우동)",,454643.711925805,208756.675519496,N,3.3
2022-05-20,영업/정상,,씨유 중화역점,"서울특별시 중랑구 동일로139길 11, 1층 (중화동)",,455670.490813231,206848.179932158,N,3.3
2021-01-28,영업/정상,,씨유중랑호야점,"서울특별시 중랑구 봉우재로 5, 1층 (면목동)",02  432 1333,454132.874160643,206465.321541553,N,3.3
2020-11-23,영업/정상,,씨유 중랑우정점,"서울특별시 중랑구 봉우재로19길 7, 1층 (상봉동)",,454409.245721624,207073.413844311,N,10.0
2019-01-02,영업/정상,,씨유면목제일점,"서울특별시 중랑구 겸재로40길 75, 1층 (면목동)",,453617.823518929,207670.466618022,N,3.3
2024-12-06,영업/정상,,씨유 태릉골드점,"서울특별시 중랑구 동일로 966, 1층 101호102호 (묵동, 늘봄아파트)",,457147.000481656,206679.380290265,N,90.9
2025-02-06,영업/정상,,씨유 이수브라운스톤점,"서울특별시 중랑구 공릉로18길 59, 상가동 106,107호 (묵동, 브라운스톤태릉아파트)",,457380.933864584,207207.654789133,N,5.0
2025-01-03,영업/정상,,씨유 중랑센터점,"서울특별시 중랑구 신내로15길 196, 101호 (묵동)",,457174.958326298,207718.222107219,N,3.3
2023-09-14,영업/정상,,씨유 상봉엘지점,"서울특별시 중랑구 봉화산로 144, 엘지쌍용아파트 상가동 1층 105,106,107호 (상봉동)",,455673.271333559,207867.772723867,N,3.3
2022-05-10,영업/정상,,씨유(CU)양원역점,"서울특별시 중랑구 양원역로14길 15, 1층 101호 (망우동)",,456112.151908611,209420.686897408,N,3.3
2019-09-17,영업/정상,,씨유(CU) 종로공원점,"서울특별시 종로구 율곡로 271, 대광빌딩 1층 (종로6가)",,452323.316087427,200600.526930858,N,3.3
2019-02-28,영업/정상,,CU(씨유)국민대점,"서울특별시 성북구 정릉로8길 73, 가동 1층 2호 (정릉동)",,456215.647392692,199853.320628949,N,9.9
2019-05-27,영업/정상,,씨유 정릉타운점,"서울특별시 성북구 서경로18길 6, 지하1층 (정릉동)",02943 8333,456447.49670026,201260.351834046,N,6.6
2019-04-23,영업/정상,,CU(씨유)성북명랑점,"서울특별시 성북구 보문로34가길 51, 1층 (동선동3가)",,454607.21206289,201702.710454554,N,10.0
2023-07-20,영업/정상,,씨유(CU) 성북한신점,"서울특별시 성북구 성북로4길 52, 405동 1층 (돈암동, 한신한진아파트)",,454721.505180141,200841.726990037,N,3.3
2023-08-17,영업/정상,,씨유 장위포레카운티점,"서울특별시 성북구 장월로 160, 101,102호 (장위동, 래미안장위포레카운티)",,457303.0232809,204639.622332994,N,3.3
2019-03-18,영업/정상,,씨유 북악스카이점,"서울특별시 성북구 북악산로 744, 지1층 (정릉동)",,455265.507878567,200766.684930236,N,10.0
